GEOID10,H72003_dp,H72004_dp,H72005_dp,H72006_dp,H72007_dp,H72008_dp,H72009_dp,H72003_sf,H72004_sf,H72005_sf,H72006_sf,H72007_sf,H72008_sf,H72009_sf
390490002201008,107,0,0,2,0,0,1,100,1,0,5,0,2,0
390490002201009,98,1,0,1,0,5,0,96,2,0,0,0,0,3
390490002202000,66,1,0,0,0,0,0,68,0,0,0,0,0,0
390490002202001,115,0,0,1,0,2,1,112,1,0,1,0,2,2
390490002202002,70,0,0,0,0,2,3,70,0,0,1,0,0,0
390490002202003,117,0,0,5,0,3,1,117,0,0,0,0,0,3
390490002202004,82,4,0,0,0,0,0,80,3,0,0,0,0,6
390490002202005,66,0,0,0,0,0,2,66,0,0,1,0,0,2
390490002202006,59,0,0,0,0,0,1,63,2,0,1,0,2,4
390490002202007,83,0,0,9,0,0,3,85,0,0,7,0,2,0
390490002202008,107,0,0,5,0,0,0,114,0,0,0,0,0,0
390490002203000,92,2,0,0,0,0,0,88,1,0,0,0,0,0
390490002203001,90,0,1,0,0,0,0,91,0,0,3,0,0,4
390490002203002,65,6,0,0,0,0,4,70,0,0,6,0,0,0
390490002203003,59,0,0,0,0,0,3,56,0,0,2,0,0,0
390490002203004,94,0,0,0,0,0,0,96,2,1,0,0,3,0
390490002203005,110,0,0,7,0,0,2,109,0,0,2,0,0,0
390490002203006,105,0,0,0,0,0,4,107,0,0,0,0,0,0
390490002203008,102,0,0,0,0,0,1,100,1,0,1,0,0,2
390490002203009,53,0,0,0,0,0,0,48,0,0,0,0,0,0
390490002203010,141,0,0,0,0,0,0,135,6,0,1,0,5,7
390490002203011,40,0,0,0,0,0,0,38,0,0,1,0,0,1
390490002203012,82,0,0,1,0,0,1,66,2,0,0,0,0,3
390490002204000,21,0,0,1,0,3,1,31,0,0,0,0,0,0
390490002204001,61,2,0,0,0,0,0,63,0,0,0,0,0,0
390490002204002,30,0,1,0,0,0,0,28,0,1,0,0,0,0
390490002204004,80,0,0,0,0,0,2,83,0,0,2,0,0,0
390490002204005,48,0,0,0,0,0,2,47,0,0,1,0,0,6
390490002204006,55,8,0,0,0,0,0,61,2,0,1,0,0,2
390490002204007,162,0,0,0,0,1,3,163,2,1,1,0,1,1
390490002204008,39,1,0,2,0,0,0,38,0,0,1,0,0,0
390490002204009,64,0,0,0,0,0,1,68,0,0,1,0,0,0
390490002204010,26,0,0,5,0,0,0,24,0,0,1,0,0,3
390490002204011,18,1,0,0,0,0,3,15,1,0,0,0,0,0
390490002204012,93,0,0,4,0,0,5,93,1,0,2,0,1,3
390490002204013,51,1,0,0,0,0,2,46,2,0,2,0,0,3
390490002204014,20,0,0,0,0,1,1,25,0,0,0,0,0,0
390490002204015,46,4,0,1,0,0,4,45,0,0,0,0,0,1
390490002204016,37,0,0,0,0,0,0,37,0,0,0,0,0,3
390490002204017,27,0,0,1,0,0,2,33,0,0,0,0,0,3
390490002204018,22,0,0,0,0,0,0,20,0,0,0,0,0,0
390490002204019,37,1,0,0,0,0,0,32,1,0,0,0,0,0
390490002204020,88,0,0,0,0,0,0,89,0,0,0,0,1,1
390490002204021,49,0,0,0,0,0,1,51,0,0,1,0,0,0
390490002204022,37,0,0,0,0,0,0,38,1,0,0,0,0,0
390490003101000,37,10,0,1,0,4,3,37,3,0,0,0,0,3
390490003101002,17,0,0,0,0,0,2,13,0,0,0,0,0,0
390490003101003,7,0,0,0,0,1,0,15,0,0,0,0,0,0
390490003101013,84,123,0,0,0,2,3,84,125,0,0,0,0,10
390490003101014,18,1,0,5,1,0,7,24,0,0,0,0,0,2
390490003101015,29,5,0,9,0,1,2,43,11,0,5,0,0,1
390490003101016,89,32,0,5,0,1,4,88,33,0,6,0,1,7
390490003101017,91,34,1,1,0,4,3,79,32,0,0,0,13,2
390490003101018,52,22,0,0,0,0,2,62,25,0,1,1,0,12
390490003101020,51,7,0,5,0,0,2,46,7,0,1,0,0,2
390490003101021,51,11,0,8,0,1,8,48,20,0,7,0,4,3
390490003101022,123,12,0,3,0,2,4,117,9,0,4,0,0,0
390490003101023,67,10,0,6,0,7,3,69,10,0,0,0,2,1
390490003101024,51,3,0,0,0,1,2,49,2,0,1,0,4,1
390490003102000,157,69,1,0,1,7,6,165,65,1,5,0,9,24
390490003102001,47,15,0,1,0,3,3,43,16,0,2,0,0,0
390490003102002,27,2,0,3,0,3,1,14,1,0,2,0,0,0
390490003102003,131,45,0,7,0,5,7,139,51,0,5,0,4,7
390490003102005,17,76,0,0,0,6,14,21,78,0,0,1,6,11
390490003102006,76,22,0,0,0,0,8,70,23,0,1,0,5,5
390490003102007,85,23,0,7,0,3,1,80,16,0,9,0,5,1
390490003102008,22,7,0,0,0,0,3,18,3,0,6,0,0,0
390490003102009,38,18,0,0,0,0,3,37,16,0,0,0,0,7
390490003102010,35,13,0,0,0,0,1,36,14,0,1,0,0,6
390490003102011,64,17,1,0,0,0,6,64,17,0,0,0,0,3
390490003102012,80,10,0,0,0,0,4,73,5,0,0,0,0,7
390490003102013,128,76,0,0,0,0,5,128,72,2,5,0,3,11
390490003103000,43,10,0,0,0,0,5,38,9,0,0,0,0,0
390490003103001,37,12,0,0,0,0,0,39,11,0,0,0,2,1
390490003103002,39,13,0,0,0,3,1,44,15,0,5,0,2,1
390490003103003,51,5,0,0,0,1,5,53,5,0,0,0,1,2
390490003103004,64,14,0,3,0,0,6,69,17,0,2,0,0,6
390490003103005,48,5,0,1,0,0,1,41,4,0,1,0,0,0
390490003103006,35,4,0,1,0,1,1,35,5,0,1,0,0,0
390490003103007,22,0,1,1,0,2,1,22,0,0,0,0,0,1
390490003103013,33,2,0,0,0,0,3,32,9,0,0,0,0,0
390490003103014,32,0,0,0,0,4,5,37,6,0,0,0,0,0
390490003103015,40,3,0,2,0,0,0,43,1,0,0,0,0,0
390490003103019,18,4,0,2,0,1,2,20,3,0,0,0,0,0
390490003201000,35,11,0,0,0,0,3,34,6,0,1,0,0,0
390490003201001,36,4,0,2,0,0,4,39,4,0,7,0,0,4
390490003201002,104,27,0,0,0,0,1,106,33,0,0,0,0,5
390490003201003,64,2,0,0,0,0,4,60,0,0,0,0,0,0
390490003201004,44,8,0,0,0,0,1,41,6,0,0,0,3,0
390490003201005,48,14,0,0,0,1,0,47,14,0,0,0,0,1
390490003201006,44,14,0,1,0,0,3,45,16,0,4,0,0,1
390490003201007,56,3,0,0,0,0,2,54,8,0,0,0,0,0
390490003201008,62,0,0,0,0,0,3,59,2,0,0,0,0,0
390490003201009,34,10,0,0,0,0,3,42,7,0,1,0,0,1
390490003201010,66,3,0,1,0,0,2,63,4,0,0,0,0,0
390490003201011,101,3,0,0,0,1,2,96,9,0,0,0,1,11
390490003201012,42,1,1,0,0,4,0,45,0,0,0,0,6,3
390490003201013,47,1,0,0,0,0,2,47,2,0,3,0,0,2
390490003201014,41,1,0,0,0,1,4,32,1,0,0,0,0,0
390490003201015,32,4,0,0,0,0,0,32,1,0,0,0,2,0
390490003201016,38,6,0,4,0,0,0,44,4,0,0,0,5,0
390490003201017,25,3,0,4,0,1,1,26,3,0,0,0,0,0
390490003201018,52,10,1,4,0,2,5,55,9,1,0,0,0,4
390490003201019,46,23,0,4,0,0,4,47,20,0,4,0,0,0
390490003202000,42,7,0,0,0,1,2,45,8,0,0,0,0,3
390490003202001,46,10,0,0,0,0,1,47,12,0,1,0,0,0
390490003202002,46,17,0,1,0,1,2,46,18,0,0,0,0,1
390490003202003,36,0,0,0,0,5,0,36,0,0,0,0,5,2
390490003202004,67,7,0,2,0,1,1,62,5,0,2,0,0,1
390490003202005,40,0,0,1,0,0,6,42,6,0,0,0,5,4
390490003202006,134,24,0,0,0,3,3,136,24,4,1,0,11,8
390490003202007,68,10,1,0,0,12,2,60,15,0,0,0,3,5
390490003202008,50,12,0,0,0,2,1,51,6,0,0,0,0,0
390490003202009,66,6,0,2,0,2,3,63,3,0,4,0,0,0
390490003202010,47,4,0,0,0,3,4,48,2,0,0,0,4,5
390490003202011,35,0,0,0,0,4,9,40,0,0,0,0,4,4
390490003202012,9,9,0,0,0,2,0,17,0,1,0,0,2,0
390490003202014,43,5,0,2,0,3,0,37,6,0,1,0,5,1
390490003202015,20,0,0,0,0,0,2,22,4,0,0,0,0,1
390490003202016,38,2,0,0,0,1,1,38,2,0,0,0,0,3
390490003202017,97,31,0,0,0,7,2,95,33,0,0,0,0,7
390490003202018,23,4,1,1,1,0,0,24,6,0,0,0,0,0
390490003301000,24,5,2,0,0,2,1,33,5,0,0,0,0,0
390490003301001,36,4,0,3,0,0,0,34,5,0,0,0,2,0
390490003301002,55,18,0,0,0,0,3,57,17,0,0,0,0,0
390490003301003,21,9,0,0,0,0,8,30,1,0,0,0,0,4
390490003301004,45,11,0,1,0,2,6,43,15,1,0,0,0,0
390490003301005,142,31,0,4,0,1,2,135,27,0,5,0,3,14
390490003301006,67,21,0,0,0,0,3,66,39,0,0,0,0,0
390490003301007,37,16,0,0,0,2,2,37,14,0,0,0,0,1
390490003301008,33,6,0,1,0,0,2,35,9,0,0,0,0,0
390490003302000,54,38,0,3,0,11,6,57,41,0,0,0,9,0
390490003302001,73,11,0,6,0,0,3,73,12,0,4,0,0,10
390490003302002,91,25,2,1,1,0,3,92,16,1,3,0,7,7
390490003302003,35,4,0,0,0,4,4,40,4,0,0,0,0,2
390490003302004,52,21,0,3,0,0,5,49,20,0,1,0,5,7
390490003302005,44,19,2,0,0,1,2,46,20,0,0,0,0,7
390490003302006,47,25,0,0,0,7,9,48,24,0,0,0,5,0
390490003302007,46,44,0,0,0,2,6,50,44,0,0,0,0,7
390490003302008,32,18,0,1,0,0,2,27,20,0,4,0,0,0
390490003302009,41,17,0,0,0,0,0,43,10,0,3,0,0,0
390490003302010,48,23,0,0,0,3,4,41,21,0,0,0,0,0
390490003302011,48,31,0,2,0,1,2,53,23,0,5,0,0,0
390490003303000,57,24,0,0,0,4,4,61,22,0,0,0,0,0
390490003303001,31,24,0,0,0,2,1,32,28,0,0,0,0,6
390490003303002,146,37,0,0,0,0,0,147,27,0,1,1,0,6
390490003303003,45,6,0,0,0,0,2,43,5,0,0,0,5,2
390490003303004,70,10,0,0,0,7,4,68,12,0,0,0,14,8
390490003303005,66,2,0,0,0,1,1,65,5,0,0,0,0,0
390490003303006,66,20,0,2,0,2,4,65,30,0,0,0,0,2
390490003303007,24,11,0,0,0,0,7,25,8,0,0,0,0,0
390490003303008,19,2,0,0,0,0,4,28,4,0,0,0,0,1
390490004101000,167,0,0,0,0,1,0,170,4,1,5,0,2,2
390490004101001,68,0,0,0,0,1,2,66,0,0,0,0,0,0
390490004101002,65,0,0,1,0,0,4,62,0,0,4,0,0,0
390490004101003,59,0,2,0,0,1,2,62,0,0,1,0,0,0
390490004101004,30,4,0,0,0,0,4,27,6,0,1,0,0,0
390490004101005,97,4,0,0,0,0,3,97,4,0,0,0,5,0
390490004101006,40,2,0,0,0,0,1,53,2,0,0,0,0,1
390490004101007,43,1,0,0,0,1,0,45,0,0,0,0,0,0
390490004101008,32,2,0,7,0,1,3,38,6,0,0,0,0,0
390490004101009,255,0,0,7,0,2,1,245,10,0,7,0,2,5
390490004101010,72,0,0,5,0,0,0,74,0,2,4,0,0,0
390490004101011,211,1,0,2,0,0,4,214,5,0,0,0,1,4
390490004102000,255,1,0,16,0,1,3,241,4,0,15,0,1,9
390490004102001,64,5,0,0,0,0,1,62,4,0,1,0,1,2
390490004102002,100,5,0,2,0,0,7,84,2,1,1,0,0,2
