GEOID10,obj
390490071122022,8.0
390490071122023,0.0
390490071132006,0.0
390490071203044,0.0
390490071203045,0.0
390490071121011,0.0
390490071121013,0.0
390490071121014,0.0
390490071121015,0.0
390490071121016,1.0
390490071121018,1.0
390490071121019,11.0
390490071121020,0.0
390490071122007,0.0
390490071123006,0.0
390490071123019,1.0
390490071123021,0.0
390490071123022,0.0
390490071123025,0.0
390490071123026,0.0
390490071123027,0.0
390490071123028,0.0
390490071123029,0.0
390490071123030,0.0
390490071123032,0.0
390490071123033,1.0
390490071123036,4.0
390490071123037,0.0
390490071123040,0.0
390490071123041,0.0
390490071131009,0.0
390490071131010,0.0
390490071132004,0.0
390490071132005,0.0
390490071132011,0.0
390490071133001,0.0
390490071133006,0.0
390490071133019,0.0
390490071133021,0.0
390490071133027,0.0
390490071133028,0.0
390490071133030,0.0
390490071133031,0.0
390490071141014,0.0
390490071141016,0.0
390490071141017,0.0
390490071141020,0.0
390490071141021,0.0
390490071141023,0.0
390490071141025,0.0
390490071141026,0.0
390490071141027,0.0
390490071141031,0.0
390490071143000,0.0
390490071143001,0.0
390490071143002,0.0
390490071143005,0.0
390490071143006,0.0
390490071143007,0.0
390490071143027,0.0
390490071143028,0.0
390490071143029,0.0
390490071143030,0.0
390490071143031,0.0
390490071143060,0.0
390490071143061,0.0
390490071143062,0.0
390490071154002,0.0
390490071155003,0.0
390490071203026,0.0
390490071203027,0.0
390490071203034,0.0
390490071203036,0.0
390490071203037,0.0
390490071203038,0.0
390490071203039,0.0
390490071203040,0.0
390490071203041,0.0
390490071203042,0.0
390490071203043,0.0
390490071322019,0.0
390490071322020,0.0
390490071322023,0.0
390490071322024,0.0
390490071324014,0.0
390490071932022,0.0
390490071932027,8.0
390490071943012,0.0
390490071943013,1.0
390490071943014,1.0
390490071943015,0.0
390490071944009,0.0
390490071944010,0.0
390490071944023,0.0
390490071981007,0.0
390490071981011,0.0
390490071981012,1.0
390490071981013,8.0
390490071981014,0.0
390490071981015,0.0
390490071981016,1.0
390490071981017,0.0
390490071981019,0.0
390490071981020,23.0
390490071981022,0.0
390490071981023,0.0
390490071981024,29.0
390490071981025,8.0
390490071981026,1.0
390490071981027,1.0
390490071981028,0.0
390490071981029,7.0
390490071981030,11.0
390490071981031,0.0
390490071981032,0.0
390490071981033,0.0
390490071981034,22.0
390490071981035,0.0
390490071981036,0.0
390490071981040,92.0
390490071992000,0.0
390490071992001,0.0
390490071992002,0.0
390490071992004,0.0
390490071992009,0.0
390490071992018,0.0
390490071992019,0.0
390490071992041,0.0
390490071992044,0.0
390490071992045,0.0
390490071992053,0.0
390490071993010,0.0
390490071993014,0.0
390490071993015,0.0
390490072021002,0.0
390490072021003,0.0
390490072021007,4.0
390490072021009,0.0
390490072021010,0.0
390490072021011,0.0
390490072021013,0.0
390490072021015,0.0
390490072021016,0.0
390490072021020,0.0
390490072022000,0.0
390490072022001,0.0
390490072022003,0.0
390490072022004,0.0
390490072022005,0.0
390490072022010,0.0
390490072022011,0.0
390490072022018,0.0
390490072022019,0.0
390490072022020,1.0
390490072022021,0.0
390490072022022,0.0
390490072022023,0.0
390490072071014,0.0
390490072071015,0.0
390490072072050,0.0
390490072072051,0.0
390490072073025,0.0
390490072073028,0.0
390490072073032,0.0
390490072073033,0.0
390490072073034,0.0
390490100001001,19.0
390490100001002,4.0
390490100001005,0.0
390490100001006,0.0
390490100001007,0.0
390490100002000,11.0
390490100002001,0.0
390490100002002,0.0
390490100002003,0.0
390490100002004,0.0
390490100002005,0.0
390490100002006,0.0
390490100002007,0.0
390490100002008,0.0
390490100002011,0.0
390490100004006,0.0
390490100004007,0.0
390490100004010,0.0
390490100004011,0.0
390490100004012,0.0
390490100004013,0.0
390490100004014,0.0
390490100004015,0.0
390490100004016,0.0
390490100004017,0.0
390490100004018,0.0
390490079212018,0.0
390490079212019,0.0
390490079212021,0.0
390490079212025,0.0
390490079212072,0.0
390490079212073,0.0
390490079212074,0.0
390490079212075,0.0
390490079212076,0.0
390490079212077,0.0
390490079212078,0.0
390490079212081,0.0
390490079212082,0.0
390490080002010,1.0
390490080002012,0.0
390490080002013,0.0
390490080002021,1.0
390490080002022,0.0
390490080002023,0.0
390490080001005,0.0
390490080001006,0.0
390490080001007,0.0
390490080001008,1.0
390490080001029,0.0
390490062304155,0.0
390490062304156,0.0
390490079212020,0.0
