White,Black,AIAN,Asian,NHPI,Other race alone,Two or more races,total_pop,total_true
63,0,0,0,0,0,0,63,0
28,0,1,0,0,0,0,29,1
83,0,0,2,0,0,0,85,0
47,0,0,1,0,0,6,54,0
61,2,0,1,0,0,2,66,0
163,2,1,1,0,1,1,169,1
38,0,0,1,0,0,0,39,0
68,0,0,1,0,0,0,69,0
24,0,0,1,0,0,3,28,0
15,1,0,0,0,0,0,16,1
93,1,0,2,0,1,3,100,0
46,2,0,2,0,0,3,53,0
25,0,0,0,0,0,0,25,0
45,0,0,0,0,0,1,46,0
37,0,0,0,0,0,3,40,0
33,0,0,0,0,0,3,36,0
20,0,0,0,0,0,0,20,0
32,1,0,0,0,0,0,33,1
89,0,0,0,0,1,1,91,0
51,0,0,1,0,0,0,52,0
38,1,0,0,0,0,0,39,0
37,3,0,0,0,0,3,43,0
13,0,0,0,0,0,0,13,0
15,0,0,0,0,0,0,15,0
84,125,0,0,0,0,10,219,0
24,0,0,0,0,0,2,26,0
43,11,0,5,0,0,1,60,0
88,33,0,6,0,1,7,135,1
79,32,0,0,0,13,2,126,0
62,25,0,1,1,0,12,101,0
46,7,0,1,0,0,2,56,0
48,20,0,7,0,4,3,82,0
117,9,0,4,0,0,0,130,0
69,10,0,0,0,2,1,82,0
49,2,0,1,0,4,1,57,0
165,65,1,5,0,9,24,269,1
43,16,0,2,0,0,0,61,0
14,1,0,2,0,0,0,17,0
139,51,0,5,0,4,7,206,0
21,78,0,0,1,6,11,117,0
70,23,0,1,0,5,5,104,0
80,16,0,9,0,5,1,111,1
18,3,0,6,0,0,0,27,0
37,16,0,0,0,0,7,60,0
36,14,0,1,0,0,6,57,0
64,17,0,0,0,0,3,84,0
73,5,0,0,0,0,7,85,0
128,72,2,5,0,3,11,221,0
38,9,0,0,0,0,0,47,0
39,11,0,0,0,2,1,53,0
44,15,0,5,0,2,1,67,1
53,5,0,0,0,1,2,61,1
69,17,0,2,0,0,6,94,0
41,4,0,1,0,0,0,46,1
35,5,0,1,0,0,0,41,1
22,0,0,0,0,0,1,23,1
32,9,0,0,0,0,0,41,0
37,6,0,0,0,0,0,43,0
43,1,0,0,0,0,0,44,0
20,3,0,0,0,0,0,23,0
34,6,0,1,0,0,0,41,0
39,4,0,7,0,0,4,54,0
106,33,0,0,0,0,5,144,0
60,0,0,0,0,0,0,60,0
41,6,0,0,0,3,0,50,0
47,14,0,0,0,0,1,62,0
45,16,0,4,0,0,1,66,0
54,8,0,0,0,0,0,62,0
59,2,0,0,0,0,0,61,0
42,7,0,1,0,0,1,51,0
63,4,0,0,0,0,0,67,0
96,9,0,0,0,1,11,117,1
45,0,0,0,0,6,3,54,0
47,2,0,3,0,0,2,54,0
32,1,0,0,0,0,0,33,1
32,1,0,0,0,2,0,35,0
44,4,0,0,0,5,0,53,0
26,3,0,0,0,0,0,29,0
55,9,1,0,0,0,4,69,1
47,20,0,4,0,0,0,71,0
45,8,0,0,0,0,3,56,0
47,12,0,1,0,0,0,60,0
46,18,0,0,0,0,1,65,0
36,0,0,0,0,5,2,43,0
62,5,0,2,0,0,1,70,1
42,6,0,0,0,5,4,57,0
136,24,4,1,0,11,8,184,0
60,15,0,0,0,3,5,83,0
51,6,0,0,0,0,0,57,0
63,3,0,4,0,0,0,70,0
48,2,0,0,0,4,5,59,0
40,0,0,0,0,4,4,48,0
17,0,1,0,0,2,0,20,0
37,6,0,1,0,5,1,50,0
22,4,0,0,0,0,1,27,0
38,2,0,0,0,0,3,43,0
95,33,0,0,0,0,7,135,0
24,6,0,0,0,0,0,30,0
33,5,0,0,0,0,0,38,0
34,5,0,0,0,2,0,41,0
57,17,0,0,0,0,0,74,0
30,1,0,0,0,0,4,35,0
43,15,1,0,0,0,0,59,0
135,27,0,5,0,3,14,184,0
66,39,0,0,0,0,0,105,0
37,14,0,0,0,0,1,52,0
35,9,0,0,0,0,0,44,0
57,41,0,0,0,9,0,107,0
73,12,0,4,0,0,10,99,0
92,16,1,3,0,7,7,126,0
40,4,0,0,0,0,2,46,0
49,20,0,1,0,5,7,82,0
46,20,0,0,0,0,7,73,0
48,24,0,0,0,5,0,77,0
50,44,0,0,0,0,7,101,0
27,20,0,4,0,0,0,51,0
43,10,0,3,0,0,0,56,0
41,21,0,0,0,0,0,62,0
53,23,0,5,0,0,0,81,0
61,22,0,0,0,0,0,83,0
32,28,0,0,0,0,6,66,0
147,27,0,1,1,0,6,182,0
43,5,0,0,0,5,2,55,0
68,12,0,0,0,14,8,102,0
65,5,0,0,0,0,0,70,0
65,30,0,0,0,0,2,97,0
25,8,0,0,0,0,0,33,0
28,4,0,0,0,0,1,33,0
170,4,1,5,0,2,2,184,0
66,0,0,0,0,0,0,66,0
62,0,0,4,0,0,0,66,0
62,0,0,1,0,0,0,63,0
27,6,0,1,0,0,0,34,0
97,4,0,0,0,5,0,106,0
53,2,0,0,0,0,1,56,1
45,0,0,0,0,0,0,45,0
38,6,0,0,0,0,0,44,0
245,10,0,7,0,2,5,269,0
74,0,2,4,0,0,0,80,0
214,5,0,0,0,1,4,224,0
241,4,0,15,0,1,9,270,1
62,4,0,1,0,1,2,70,0
84,2,1,1,0,0,2,90,0
89,1,0,3,0,0,3,96,0
96,7,0,4,0,1,4,112,1
137,1,4,2,0,0,2,146,0
127,1,1,1,1,2,9,142,0
164,4,0,3,0,4,8,183,0
70,1,0,1,0,0,1,73,0
219,7,0,2,0,3,7,238,0
168,0,0,6,0,1,6,181,0
