PUMAID,RAC1P,RAC3P,AGEP,HISP,RELSHIPP,SEX
3904107,1,1,30,1,21,2
3904107,1,1,8,1,25,1
3904107,1,1,6,1,25,2
3904107,1,1,5,1,25,2
3904107,1,1,4,1,25,1
3904107,1,1,58,1,33,1
3904105,1,1,19,1,38,2
3904104,1,1,45,1,20,1
3904104,1,1,49,1,21,2
3904104,1,1,15,1,25,2
3904104,1,1,13,1,25,2
3904103,1,1,52,1,20,1
3904103,1,1,53,1,21,2
3904103,1,1,70,1,20,2
3904103,1,1,74,1,21,1
3904111,1,1,28,1,20,1
3904107,1,1,37,1,20,1
3904107,1,1,42,1,21,2
3904107,1,1,2,1,25,2
3904107,1,1,2,1,25,1
3904105,2,2,58,1,20,1
3904105,2,2,23,1,25,2
3904110,1,1,52,1,20,2
3904110,1,1,20,1,30,2
3904101,2,2,46,1,20,1
3904107,1,1,40,1,20,2
3904107,1,1,64,1,20,1
3904107,1,1,64,1,21,2
3904107,1,1,31,1,25,2
3904102,1,1,57,1,20,1
3904108,1,1,84,1,20,2
3904101,1,1,90,1,20,2
3904108,1,1,78,1,20,2
3904103,1,1,35,1,20,1
3904106,1,1,42,1,20,1
3904106,1,1,35,21,21,2
3904106,1,1,9,1,25,1
3904106,1,1,7,1,25,1
3904106,2,2,68,1,20,1
3904106,2,2,62,1,21,2
3904104,1,1,31,1,20,2
3904104,1,1,31,1,21,1
3904104,1,1,3,1,25,2
3904104,1,1,0,1,25,1
3904108,1,1,26,2,20,2
3904105,1,1,23,1,20,1
3904105,1,1,21,1,28,2
3904105,1,1,21,1,34,2
3904105,6,5,19,1,38,1
3904111,1,1,36,1,20,1
3904111,1,1,30,1,21,2
3904107,1,1,46,1,20,1
3904105,6,5,22,1,20,1
3904105,6,5,22,1,34,1
3904102,1,1,63,1,20,1
3904102,1,1,64,1,21,2
3904102,1,1,36,1,20,2
3904102,1,1,38,1,21,1
3904105,1,1,22,1,20,2
3904105,1,1,46,1,20,2
3904105,1,1,74,1,29,2
3904104,2,2,60,1,20,2
3904104,2,2,38,1,25,1
3904105,1,1,29,1,20,1
3904105,1,1,29,1,21,2
3904101,1,1,46,1,20,2
3904101,1,1,44,1,21,1
3904101,1,1,14,1,25,2
3904101,1,1,13,1,25,1
3904104,1,1,59,1,20,1
3904104,1,1,53,1,21,2
3904104,1,1,22,1,26,1
3904107,1,1,51,1,20,1
3904107,1,1,54,1,21,2
