PUMAID,SEX,RAC1P,AGEP,DIS,MSP,MIG,MIL,SCHL,FOD1P,HICOV,PRIVCOV,PUBCOV,PINCP,POVPIP,COW,ESR,SOCP,JWMNP,JWRIP,JWTRNS
3904106,1,1,21,2,6.0,1.0,4.0,19.0,,1,1,2,10000.0,438.0,1.0,1.0,537065,10.0,1.0,1.0
3904107,2,1,26,2,6.0,3.0,4.0,16.0,,1,1,2,25200.0,,1.0,6.0,5191XX,,,
3904106,2,2,66,2,4.0,1.0,4.0,22.0,5404.0,1,1,1,65800.0,501.0,4.0,1.0,131070,25.0,1.0,1.0
3904107,1,2,40,2,1.0,1.0,4.0,1.0,,1,2,1,4500.0,102.0,6.0,6.0,373011,,,
3904107,2,2,33,2,1.0,1.0,4.0,18.0,,1,2,1,15000.0,102.0,1.0,1.0,311131,30.0,1.0,1.0
3904107,1,2,0,2,,,,,,1,2,1,,102.0,,,,,,
3904102,1,2,32,2,6.0,1.0,4.0,16.0,,1,1,2,40000.0,324.0,6.0,1.0,112022,,,11.0
3904104,1,6,29,2,2.0,1.0,4.0,22.0,2408.0,1,1,2,113000.0,501.0,1.0,1.0,151252,20.0,1.0,1.0
3904105,1,1,19,2,6.0,1.0,4.0,19.0,,1,1,2,4000.0,,1.0,1.0,412031,5.0,,10.0
3904104,2,1,32,2,1.0,3.0,4.0,21.0,1904.0,1,1,2,130000.0,501.0,1.0,1.0,119141,25.0,1.0,1.0
3904104,1,1,36,2,1.0,3.0,4.0,22.0,2100.0,1,1,2,24000.0,501.0,7.0,1.0,411012,,,11.0
3904104,2,1,1,2,,3.0,,,,1,1,2,,501.0,,,,,,
3904103,2,1,57,2,1.0,1.0,4.0,21.0,5505.0,1,1,2,64000.0,501.0,1.0,1.0,431011,7.0,1.0,1.0
3904103,1,1,62,2,1.0,1.0,4.0,22.0,5501.0,1,1,2,104000.0,501.0,6.0,1.0,119051,,,11.0
3904103,1,1,22,2,6.0,1.0,2.0,19.0,,1,1,2,31000.0,501.0,1.0,1.0,435071,7.0,1.0,1.0
