BG,detail,va_race,race
390490083211,4,3,1
390490083212,3,1,1
390490083213,5,4,2
390490083221,2,0,0
390490083222,2,0,0
390490083223,7,6,1
390490083224,1,0,0
390490083301,2,2,0
390490083302,3,2,2
390490083401,3,3,1
390490083402,4,1,0
390490083403,5,3,0
390490083501,5,4,0
390490083502,7,5,0
390490083503,6,4,0
390490083601,5,4,1
390490083602,4,2,0
390490083603,5,4,0
390490083701,4,1,0
390490083702,2,0,0
390490083703,8,3,1
390490083801,4,2,0
390490083802,8,4,0
390490083803,2,1,1
390490084001,2,2,0
390490084002,1,1,0
390490084003,2,2,1
390490085001,7,5,1
390490085002,4,3,1
390490085003,4,3,1
390490085004,2,2,1
390490085005,2,2,1
390490087101,3,2,0
390490087102,1,0,0
390490087103,4,4,1
390490087104,2,2,0
390490087201,7,3,0
390490087202,5,4,0
390490087203,6,3,1
390490087204,4,3,1
390490087301,0,0,0
390490087302,6,2,2
390490088111,5,4,2
390490088112,2,2,0
390490088121,4,3,0
390490088122,4,2,1
390490088131,4,1,1
390490088132,4,3,2
390490088133,4,2,0
390490088211,1,1,1
390490088212,6,2,1
390490088213,4,4,0
390490088221,1,1,0
390490088222,7,3,0
390490088251,7,5,1
390490088252,5,5,1
390490088253,3,2,0
390490088254,2,2,0
390490089001,5,5,2
390490089002,3,3,2
390490089003,5,5,2
390490089004,7,3,1
390490090001,4,2,0
390490090002,6,5,1
390490090003,4,4,1
390490091001,3,2,0
390490091002,3,3,1
390490091003,0,0,0
390490091004,7,2,0
390490091005,2,2,0
390490092101,3,1,0
390490092102,2,2,0
390490092103,0,0,0
390490092201,3,1,0
390490092202,7,5,1
390490092301,4,2,0
390490092302,6,4,0
390490092303,3,2,0
390490092304,3,1,0
390490092401,4,4,1
390490092402,7,2,0
390490092501,6,4,0
390490092502,9,4,0
390490092503,4,3,1
390490093111,6,2,0
390490093112,4,2,0
390490093113,4,4,1
390490093121,2,1,0
390490093122,3,2,1
390490093123,6,5,1
390490093124,3,2,1
390490093211,1,1,0
390490093212,3,0,0
390490093213,9,7,1
390490093221,6,3,0
390490093222,10,6,0
390490093223,4,3,1
390490093231,4,3,0
390490093232,6,4,0
390490093233,2,2,2
390490093234,1,1,1
390490093251,1,1,0
390490093252,5,2,0
390490093253,2,1,0
390490093261,4,3,1
390490093311,3,2,0
390490093321,4,3,2
390490093322,3,2,0
390490093323,3,2,1
390490093324,6,2,0
390490093331,7,5,1
390490093332,4,2,0
390490093341,3,1,1
390490093342,3,2,0
390490093343,6,3,0
390490093361,1,1,0
390490093362,5,2,0
390490093371,2,1,0
390490093372,3,1,0
390490093373,1,1,0
390490093374,1,0,0
390490093401,7,4,0
390490093402,3,3,0
390490093501,3,1,0
390490093502,7,5,1
390490093611,5,5,1
390490093612,8,5,0
390490093613,4,1,1
390490093614,2,1,0
390490093621,6,1,0
390490093622,7,3,0
390490093623,4,3,1
390490093624,4,2,0
390490093625,7,4,0
390490093711,1,1,0
390490093712,5,2,0
390490093713,1,1,0
390490093714,3,1,0
390490093721,3,2,1
390490093722,3,1,0
390490093723,4,4,1
390490093724,6,5,0
390490093731,1,1,0
390490093732,3,3,0
390490093733,3,1,0
390490093734,4,3,1
390490093741,6,5,0
390490093742,8,6,0
390490093743,8,4,0
390490093811,4,4,0
390490093812,5,4,1
390490093813,6,3,0
390490093814,3,3,1
390490093821,3,3,1
390490093822,3,2,0
390490093831,4,3,0
390490093832,1,0,0
390490093841,4,4,1
390490093842,3,2,1
390490093851,4,3,0
390490093852,1,1,0
390490093861,1,1,1
390490093862,1,1,1
390490093901,4,3,0
390490093902,7,5,0
390490094101,6,3,0
390490094102,0,0,0
390490094201,5,3,1
390490094202,2,1,0
390490094203,3,3,1
390490094204,1,1,1
390490094301,3,2,2
390490094302,4,1,0
390490094303,9,6,1
390490094304,5,5,1
390490094305,2,2,0
390490094401,5,3,0
390490094402,4,3,0
390490094403,2,1,0
390490094501,3,2,1
390490094502,5,5,1
390490094503,8,5,1
390490094951,3,2,1
390490094952,4,2,0
390490094953,5,3,0
390490094971,3,2,0
390490095201,4,4,0
390490095202,3,3,0
390490095203,1,0,0
390490095901,2,2,0
390490095902,5,4,1
390490095903,2,2,0
390490095904,3,3,0
390490096001,3,2,1
390490096002,6,5,1
390490096003,4,2,1
390490096004,5,4,1
390490097111,1,0,0
390490097112,3,2,0
390490097113,3,3,0
390490097114,5,4,2
390490097121,1,1,1
390490097122,6,5,0
390490097123,2,2,0
390490097201,1,0,0
390490097202,3,2,1
390490097203,6,6,2
390490097204,3,3,0
390490097401,5,3,0
390490097402,4,2,0
390490097403,5,5,1
390490097404,5,3,0
390490097511,8,1,0
390490097521,7,5,0
390490097522,7,5,0
390490098001,2,2,0
390490098002,8,8,1
390490098003,2,1,0
390490098004,3,2,0
390490099001,3,2,1
390490100001,5,4,1
390490100002,3,2,2
390490100003,2,0,0
390490100004,0,0,0
390490100005,2,1,0
390490101001,2,1,0
390490102001,3,2,1
390490102002,5,3,0
390490102003,6,2,0
390490102004,2,1,0
390490103001,2,2,0
390490104001,3,2,0
390490104002,4,4,1
390490104003,5,2,0
390490105001,4,3,0
390490105002,4,3,1
390490105003,3,2,0
390490105004,6,4,1
390490106011,3,1,1
390490106012,7,6,0
390490106021,3,0,0
390490106022,5,4,1
390490106023,3,2,0
390490107001,4,3,1
390499800001,0,0,0
