BLK,detail,va_race,race
390490005002010,2,2,1
390490005002011,0,0,0
390490005003000,0,0,0
390490005003001,1,1,1
390490005003002,1,1,1
390490005003003,1,1,1
390490005003004,4,1,1
390490005003005,2,2,2
390490005003006,2,1,0
390490005003007,3,2,2
390490005003008,0,0,0
390490005003009,1,0,0
390490005003010,1,1,0
390490005003011,3,2,2
390490005003012,1,1,0
390490005003013,0,0,0
390490005003014,0,0,0
390490005003015,4,3,3
390490005003016,0,0,0
390490005004000,0,0,0
390490005004001,2,1,0
390490005004002,0,0,0
390490005004003,3,1,1
390490005004004,0,0,0
390490005004005,2,2,1
390490005004006,1,1,0
390490006001000,1,1,1
390490006001001,5,2,0
390490006001002,2,1,1
390490006001003,2,0,0
390490006001004,2,2,2
390490006001005,0,0,0
390490006001006,1,1,1
390490006001007,1,0,0
390490006001008,0,0,0
390490006002000,5,5,1
390490006002001,1,1,1
390490006002002,1,1,1
390490006002003,1,1,1
390490006002004,2,1,1
390490006002005,0,0,0
390490006002006,0,0,0
390490006002007,1,1,1
390490006002008,1,1,1
390490006002009,0,0,0
390490006002010,1,0,0
390490006002011,1,1,1
390490006002012,0,0,0
390490006002013,5,4,3
390490006002014,4,2,1
390490006002015,0,0,0
390490006002016,3,3,0
390490006002017,2,1,0
390490006002018,0,0,0
390490006002019,3,1,1
390490006002020,2,1,1
390490006003000,2,1,1
390490006003001,0,0,0
390490006003002,0,0,0
390490006003003,0,0,0
390490006003004,2,2,2
390490006003005,1,0,0
390490006003006,3,1,1
390490006003007,1,1,1
390490006003008,1,1,1
390490006003009,0,0,0
390490006003010,1,1,1
390490006003011,4,2,2
390490006003012,1,1,1
390490006003013,1,1,1
390490006003014,1,0,0
390490006003015,1,1,1
390490006004000,4,2,2
390490006004001,0,0,0
390490006004002,1,1,1
390490006004003,0,0,0
390490006004004,0,0,0
390490006004005,1,1,1
390490006004006,1,1,1
390490006004007,2,1,1
390490006004008,0,0,0
390490006004009,1,1,0
390490006004010,1,1,1
390490006004011,3,0,0
390490006004012,1,0,0
390490006004013,2,2,1
390490006005000,0,0,0
390490006005001,1,1,1
390490006005002,0,0,0
390490006005003,0,0,0
390490006005004,1,1,1
390490006005005,3,2,0
390490006005006,2,1,0
390490006005007,3,3,2
390490006005008,2,2,2
390490006005009,0,0,0
390490006005010,0,0,0
390490006005011,2,1,1
390490006005012,0,0,0
390490006005013,0,0,0
390490006005014,1,1,1
390490006005015,0,0,0
390490006005016,0,0,0
390490007101000,0,0,0
390490007101001,4,4,2
390490007101002,1,1,1
390490007101003,3,3,1
390490007101004,1,0,0
390490007101005,0,0,0
390490007101006,1,1,1
390490007101007,5,3,0
390490007101008,0,0,0
390490007102000,1,1,0
390490007102001,1,1,0
390490007102002,2,2,2
390490007102003,0,0,0
390490007102004,2,1,1
390490007102005,1,1,1
390490007102006,1,1,1
390490007102007,2,1,0
390490007102008,2,1,1
390490007103000,1,1,1
390490007103001,1,1,1
390490007103002,1,1,1
390490007103003,2,1,1
390490007103004,2,2,2
390490007103005,1,1,1
390490007103006,4,2,1
390490007103007,1,1,1
390490007103008,1,0,0
390490007103009,1,1,1
390490007104000,2,1,0
390490007104001,0,0,0
390490007104002,0,0,0
390490007104003,0,0,0
390490007104004,0,0,0
390490007104005,1,0,0
390490007104006,0,0,0
390490007104007,0,0,0
390490007104008,2,2,2
390490007104009,0,0,0
390490007104010,1,1,1
390490007104011,2,2,1
390490007104012,1,1,1
390490007104013,0,0,0
390490007104014,0,0,0
390490007104015,1,1,0
390490007104016,0,0,0
390490007104017,0,0,0
390490007201000,1,1,1
390490007201001,0,0,0
390490007201002,3,3,3
390490007201003,0,0,0
390490007201004,2,1,1
390490007201005,1,0,0
390490007201006,1,0,0
390490007201007,1,1,0
390490007201008,0,0,0
390490007201009,1,1,0
390490007201010,0,0,0
390490007201011,0,0,0
390490007201012,2,1,0
390490007201013,0,0,0
390490007201014,2,2,0
390490007202000,3,3,1
390490007202001,0,0,0
390490007202002,0,0,0
390490007202003,0,0,0
390490007202004,0,0,0
390490007202005,0,0,0
390490007202006,1,1,1
390490007202007,0,0,0
390490007202008,1,0,0
390490007202009,0,0,0
390490007202010,0,0,0
390490007202011,0,0,0
390490007202012,0,0,0
390490007203000,1,1,0
390490007203001,0,0,0
390490007203002,0,0,0
390490007203003,2,2,2
390490007203004,4,2,1
390490007203005,1,1,1
390490007203006,0,0,0
390490007203007,3,2,1
390490007203008,2,2,1
390490007203009,0,0,0
390490007203010,0,0,0
390490007203011,0,0,0
390490007203012,0,0,0
390490007203013,0,0,0
390490007203014,0,0,0
390490007203015,1,1,1
390490007203016,0,0,0
390490007203017,2,2,2
390490007203018,2,2,2
390490007203019,1,1,1
390490007203020,0,0,0
390490007203021,0,0,0
390490007203022,0,0,0
390490007203023,0,0,0
390490007203024,1,1,1
390490007203025,0,0,0
390490007203026,0,0,0
390490007301000,0,0,0
390490007301001,1,1,1
390490007301002,2,2,0
390490007301003,2,2,2
390490007301004,2,2,2
390490007301005,2,2,0
390490007301006,0,0,0
390490007301007,0,0,0
390490007301008,0,0,0
390490007301009,1,1,1
390490007301010,2,2,2
390490007301011,0,0,0
390490007301012,4,3,1
390490007301013,1,1,1
390490007301014,0,0,0
390490007302000,0,0,0
390490007302001,1,1,1
390490007302002,0,0,0
390490007302003,0,0,0
390490007302004,1,1,1
390490007302005,0,0,0
390490007302006,0,0,0
390490007302007,0,0,0
390490007302008,0,0,0
390490007302009,0,0,0
390490007302010,1,1,1
390490007302011,0,0,0
390490007302012,1,1,1
390490007302013,0,0,0
390490007303000,3,0,0
390490007303001,1,1,0
390490007303002,2,2,2
390490007303003,2,2,1
390490007303004,0,0,0
390490007303005,0,0,0
390490007303006,0,0,0
390490007303007,0,0,0
390490007303008,2,2,1
390490007303009,0,0,0
390490007304000,0,0,0
390490007304001,1,1,1
390490007304002,2,1,1
390490007304003,1,1,1
390490007304004,0,0,0
390490007304005,0,0,0
390490007304006,0,0,0
390490007304007,0,0,0
390490007305000,1,1,1
390490007305001,0,0,0
390490007305002,1,1,1
390490007305003,1,1,1
390490007305004,0,0,0
390490007305005,1,0,0
390490007305006,0,0,0
